Membership No  Date Joined  Active  
    86642      2017-3-6     no    
    49876      2018-3-20    no    
    49193      2015-9-1     no    
    64380      2020-9-7     no    
    83665      2017-10-9    no    
    20255      2019-5-12    no    
    98314      2015-6-3     no    
    67651      2016-2-13    no    
    41565      2016-2-13    no    
    49906      2019-4-5     no    
    55544      2015-7-8     no    
    46596      2020-3-25    no    
    14172      2018-8-12    no    
    62811      2019-7-1     no    
    33711      2018-3-5     no    
